FIX명	좌표	고도	좌표(소수점)	좌표(소수점)
WPT01	N3511.2E12853.3	1650	35.1894	128.8943
WPT03	N3512.0E12853.3	1480	35.2004	128.8929
WPT05	N3512.4E12853.3	1280	35.2115	128.8921
WPT06	N3513.0E12853.4	1150	35.2191	128.897
WPT07	N3513.2E12854.1	1030	35.2224	128.9037

WPT08	N3513.2E12854.2	1000	35.223	128.9064
WPT09	N3513.2E12854.4	900	35.2234	128.9137
WPT10	N3513.1E12855.2	750	35.2209	128.9229
WPT11	N3513.0E12855.3	675	35.2183	128.9267
WPT12	N3512.4E12855.5	500	35.2118	128.9319
WPT13	N3512.2E12856.0	375	35.2064	128.9336
WPT14	N3512.0E12856.0	250	35.2007	128.9343
WPT15	N3511.4E12856.0	150	35.1965	128.9348
WPT16	N3511.2E12856.0	50	35.1908	128.9355
WPT17	N3510.5E12856.1	20	35.1832	128.9366
